        5000           0        487        299          0          0          0          0        744          0        135          0          0          0        867          0          0          0          0          0        190
       10000           0        943        596          0          0          0          0       1472          0        278          0          0          0       1720          0          0          0          0          0        380
       15000           0       1403        903          0          0          0          0       2208          0        399          0          0          0       2566          0          0          0          0          0        579
       20000           0       1849       1178          0          0          0          0       2908          0        518          0          0          0       3486          0          0          0          0          0        754
       25000           0       2270       1456          0          0          0          0       3671          0        617          0          0          0       4392          0          0          0          0          0        911
       30000           0       2695       1728          0          0          0          0       4380          0        712          0          0          0       5279          0          0          0          0          0       1103
       35000           0       3166       2010          0          0          0          0       5091          0        826          0          0          0       6110          0          0          0          0          0       1276
       40000           0       3602       2315          0          0          0          0       5810          0        955          0          0          0       6946          0          0          0          0          0       1475
       45000           0       4061       2615          0          0          0          0       6533          0       1066          0          0          0       7856          0          0          0          0          0       1668
       50000           0       4537       2920          0          0          0          0       7247          0       1178          0          0          0       8751          0          0          0          0          0       1844
       55000           0       4994       3208          0          0          0          0       7955          0       1279          0          0          0       9630          0          0          0          0          0       2037
       60000           0       5490       3525          0          0          0          0       8643          0       1395          0          0          0      10497          0          0          0          0          0       2214
       65000           0       5938       3830          0          0          0          0       9391          0       1525          0          0          0      11402          0          0          0          0          0       2403
       70000           0       6410       4107          0          0          0          0      10117          0       1627          0          0          0      12252          0          0          0          0          0       2590
       75000           0       6890       4412          0          0          0          0      10842          0       1749          0          0          0      13111          0          0          0          0          0       2780
       80000           0       7321       4715          0          0          0          0      11599          0       1897          0          0          0      13948          0          0          0          0          0       2979
       85000           0       7791       4996          0          0          0          0      12320          0       2028          0          0          0      14821          0          0          0          0          0       3140
       90000           0       8260       5284          0          0          0          0      13043          0       2168          0          0          0      15710          0          0          0          0          0       3317
       95000           0       8702       5592          0          0          0          0      13803          0       2287          0          0          0      16544          0          0          0          0          0       3510
      100000           0       9185       5918          0          0          0          0      14533          0       2400          0          0          0      17389          0          0          0          0          0       3693
